Species,Protein (%),Analysis Technique,Pollinator,Bees Collected?,Style Length (mm),Pollen Volume (x10^-6 cm³),Reference,Group,Family (Order)
Equisetum arvense,35.6,M,,,,,,Pteridophyta,Equisetaceae
Lycopodium clavatum,8.3,M,,,,,,Pteridophyta,Lycopodiaceae
Cupressus arizonica,2.3,M,wind,,,,,Gymnospermae,Cupressaceae (Pinopsida)
Cupressus macrocarpa,6.6,M,wind,,,,,Gymnospermae,Cupressaceae (Pinopsida)
Juniperus californica,9,M,wind,,,,,Gymnospermae,Cupressaceae (Pinopsida)
Juniperus communis,8.8,M,wind,,,,,Gymnospermae,Cupressaceae (Pinopsida)
Juniperus deppeana,5.1,B,wind,,8.4,,,Gymnospermae,Cupressaceae (Pinopsida)
Juniperus monosperma,8.9,M,wind,,4.2,,,Gymnospermae,Cupressaceae (Pinopsida)
Juniperus osteosperma,8.5,M,wind,,3.7,,,Gymnospermae,Cupressaceae (Pinopsida)
Juniperus scopulorum,8.7,M,wind,,5.4,,,Gymnospermae,Cupressaceae (Pinopsida)
Thuja occidentalis,9.8,M,wind,,,,,Gymnospermae,Cupressaceae (Pinopsida)
Abies grandis,24.1,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Cedrus deodara,13.3,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Picea abies,20.9,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Pinus contorta,13,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Pinus coulteri,9.25,M,wind,,,,,Gymnospermae,Pinaceae (Pinopsida)
Pinus halepensis,14.7,M,wind,,,,,Gymnospermae,Pinaceae (Pinopsida)
Pinus edulis,16.3,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Pinus mugo,13.7,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Pinus ponderosa,11.7,M,wind,,,21.2,,Gymnospermae,Pinaceae (Pinopsida)
Pinus radiata,13.5,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Pinus sabiniana,11.4,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Pinus sylvestris,15.7,M,wind,,,,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Pinus taeda,15.9,B,wind,,,87.3,Page (1990a),Gymnospermae,Pinaceae (Pinopsida)
Sequoia sempervirens,7.9,M,wind,,,,Page (1990b),Gymnospermae,Taxodiaceae (Pinopsida)
Ceratozamia mexicana,44.3,B,,,11,,,Gymnospermae,Zamiaceae (Cycadopsida)
Dioon califanoi,31,B,,,7.4,,,Gymnospermae,Zamiaceae (Cycadopsida)
Encephalartos gratus,44.9,B,ins?,,4.6,,,Gymnospermae,Zamiaceae (Cycadopsida)
Ephedra trifurca,34.5,B,wind,1,9.1,,Buchmann et al. (1989),Gymnospermae,Ephedraceae (Gnetopsida)
Welwitschia mirabilis,53.6,C,ins,,,,Kubitzki (1990),Gymnospermae,Welwitchiaceae (Gnetopsida)
Aphelandra sinclairiana,57.3,B,hum,,56.9,32.5,McDade (1992),Angiospermae (Dicot),Acanthaceae (Scrophulariales)
Justicia graciliflora,36.1,B,hum,,50.3,56,,Angiospermae (Dicot),Acanthaceae (Scrophulariales)
Justicia secunda,36.2,B,hum,,41.1,24,Linhart and Feinsinger (1980),Angiospermae (Dicot),Acanthaceae (Scrophulariales)
Acer macrophyllum,46.2,M,,,,21,,Angiospermae (Dicot),Aceraceae (Sapindales)
Acer rubrum,39.4,B,bee/wind,1,3.6,14.7,Batra (1985),Angiospermae (Dicot),Aceraceae (Sapindales)
Actinidia deliciosa,42.2,,bee,1,,,Clark and Lintas (1992),Angiospermae (Dicot),Actinidiaceae (Ericales)
Faucaria longifolia,43.7,B,,,,5.4,,Angiospermae (Dicot),Aizoaceae (Caryophyllales)
Mesembryanthemum dolabriforme,30.5,B,,,,2.6,,Angiospermae (Dicot),Aizoaceae (Caryophyllales)
Delosperma nelii,32.1,B,,,,2.8,,Angiospermae (Dicot),Aizoaceae (Caryophyllales)
Vanheerdia divergens,36.4,B,,,,4.9,,Angiospermae (Dicot),Aizoaceae (Caryophyllales)
Amaranthus hybridus,23.4,M,,,,7.5,,Angiospermae (Dicot),Amaranthaceae (Caryophyllales)
Amaranthus palmeri,23.2,M,wind,,,,Cane et al. (1992),Angiospermae (Dicot),Amaranthaceae (Caryophyllales)
Amaranthus tuberculatus,27.4,M,,,,5,,Angiospermae (Dicot),Amaranthaceae (Caryophyllales)
