Plants_Common_Name,Plants_Latin_Name,Plants_Family,Plants_category,Moisture_percent,Ash_percent,Fibres_Total_g100g,Lipids_Total_g100g,Proteins_Total_g100g,Carbohydrates_Total_g100g,Sugar_Total_g100g,Energy_kcal100g,Mg_Mineral_mgKg,Zn_Mineral_mgKg,Fe_Mineral_mgKg,Ca_Mineral_mgKg,P_Mineral_mgKg,Mn_Mineral_mgKg,K_Mineral_mgKg,Na_Mineral_mgKg,Cu_Mineral_mgKg,Pb_HeavyMetal_mgKg,Se_HeavyMetal_mgKg,Cr_HeavyMetal_mgKg,S_HeavyMetal_mgKg,VitaminC_ascorbicacid_ugg,VitaminA_Retinol_ugg,VitaminB1_thiamine_ugg,VitaminB2_riboflavin_ugg,VitaminB3_nicotinicacid_ugg,VitaminB3_nicotinamide_ugg,VitaminB3_total_niacin_ugg,VitaminB5_pantothenicacid_ugg,VitaminB6_pyridoxine_ugg,VitaminB8_biotin_ugg,VitaminB9_folicacid_ugg,VitaminB12_cobalamin_ugg,VitaminE_tocopherol_ugg,Palmitic_16:0_percent,Palmitoleic_16:1_percent,Oleic_18:1_percent,Omega6_Linoleic_18:2_percent,Omega-3_α-linolenicacid_18:3_percent,Omega-6_γ-Linolenic_18:3_percent,Stearic_18:0_percent,Butyricacid_4:0_percent,Hexanoicacid_6:0_percent,Caprylicacid_8:0_percent,Capricacid_10:0_percent,Undecanoicacid_11:0_percent,Lauricacid_12:0_percent,Myristicacid_14:0_percent,Pentadecanoicacid_15:0_percent,Heptadecanoicacid_17:0_percent,Heptadecenoicacid_17:1_percent,Arachidic_20:0_percent,Omega9_Heneicosenoicacid_21:1_percent,Tricosanoicacid_23:0_percent,Behenic_22:0_percent,Lignocericacid_24:0_percent,Trans-omega9_Elaidicacid_18:1_percent,Omega9_Eicosenoicacid_20:1_percent,Cis-omega12_Petroselinicacid_18:1_percent,Omega9_11-Eicosenoicacid_20:9_percent,Omega9_Erucicacid_22:1_percent,Omega9_Nervonicacid_24:1_percent,Omega3_Docosahexaenoicacid_22:6_percent,Omega6_Linolelaidicacid_18:2trans_percent,Omega6_Eicosadienoicacid_20:2_percent,Omega6_Dihomo-y-linolenicacid_20:3_percent,Omega6_Eicosatrienoicacid_20:3_percent,Omega6_Arachidonicacid_20:4_percent,Omega3_Eicosapentaenoicacid_20:5_percent,TSFA_gKg,TMFAs_gKg,PUFAs_gKg,TUSFA_g/Kg,TUSFA/SFA,EAA_Arginine_mgg,EAA_Histidine_mgg,EAA_Isoleucine_mgg,EAA_Leucine_mgg,EAA_Lysine_mgg,EAA_Methionine_mgg,EAA_Phenylalanine_mgg,EAA_Threonine_mgg,EAA_Tryptophan_mgg,EAA_Valine_mgg,Total_AAs_mgg,Total_NEAAs_mgg,Total_EAAs_mgg,TEAA/TAA,Author,,
Hardy kiwi,Actinidia arguta,Actinidaceae,Food,13.8 ± 0.01,5.2 ± 0.4,3.1 ± 0.38,4.5 ± 0.02,26.5,NA,NA,NA,2737,102,322,5041,7666,53,11670,106,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.07,1.95,4.67,NA,53.92,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0,6.0,13.0,20.0,12.0,NA,12.0,4.0,NA,14.0,NA,NA,NA,NA,Ghosh & Jung 2017,,
Golden kiwi fruit,Actinidia chinensis,Actinidaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,932 ± 81,24 ± 4,72 ± 5 ,4464 ± 118 ,1362 ± 60 ,17 ± 2 ,3152 ± 57 ,567 ± 37 ,5 ± 2 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolios et al. 2018,,
Onion ,Allium cepa,Amaryllidaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,877 ± 21,61 ± 5,159 ± 7 ,3907 ± 52 ,2148 ± 117 ,32 ± 3 ,5654 ± 127 ,515 ± 32 ,6 ± 1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolios et al. 2018,,
Rape ,Brassica napus,Brassicaceae,Food,6.5-15.9,3.1-3.6,0.5-4.2,3.9-12.5,18.0-28.0,44.8-60.8,F:17.1 ± 0.1;G:16.0 ± 0.1,367-417,1045-3890,33.2-40.2,89.2-362.0,1591-5248,389-6771,22.2-44.6,3570-8260,170-8355,6.1-15.8,NA,NA,0.81 ± 0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7-18.8,0.90 ± 0.02,7.6-15.9,5.6-6.1,8.8-31.8,29.1 ± 0.02,2.4-6.6,NA,NA,NA,0.4 ± 0.01,0.2 ± 0.02,0.1-1.1,0.3-21.8,NA,NA,0.87 ± 0.01,1.3-2.5,0.37 ± 0.02,7.97 ± 0.01,0.21 ± 0.01,0.7 ± 0.02,0.28 ± 0.01,0.29 ± 0.03,NA,NA,0.46 ± 0.02,0.21 ± 0.01,NA,NA,0.17 ± 0.01,1.23 ± 0.03,13.83 ± 0.03,NA,0.35 ± 0.01,289.0,98.1,595.3,693.4,2.4,3.9-14.2,3.2-12.5,3.9-13.2,10.9-19.7,7.7-20.0,0.4-5.5,0.5-12.8,5.2-12.1,1.2-13.2,9.5-13.7,188.6-353.8,130.7 ± 1.8,84.9-95.2,NA,Thakur & Nanda 2018; Yang et al 2013; Hsu et al. 2021; Bertrand et al. 2019; McAuley et al. 2018; Taha et al. 2017; Taha et al. 2015; Somerville 2006,,
Brassica spp,Brassica spp,Brassicaceae,Food,NA,NA,NA,11.1-20.2,NA,33.0,NA,NA,1576.5 ± 8.2,42.7 ± 1.0,35.0 ± 1.0,2536.3 ± 36.8,7205.2 ± 35.1,25.0 ± 0.1,6217.4 ± 44.3,85.8 ± 1.4,9.5 ± 0.1,NA,NA,NA,3683.3 ± 17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lau et al. 2022,,
Brassica spp 76%,Brassica spp ,Brassicaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,964 ± 17,31.71 ± 0.21,52.54 ± 0.70 ,2032 ± 27 ,NA,21.32 ± 0.33 ,3664 ± 14 ,25.76 ± 0.22 ,8.892 ± 0.124 ,NA,NA,0.231 ± 0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kostić et al. 2015,,
Brassica spp 93%,Brassica spp ,Brassicaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,832 ± 10,36.95 ± 0.43,48.33 ± 0.49 ,1739 ± 35 ,NA,18.88 ± 0.30 ,3241 ± 64 ,26.75 ± 0.16 ,7.904 ± 0.076 ,NA,NA,0.208 ± 0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kostić et al. 2015,,
Sweet chestnut,Castanea sativa,Fagaceae,Food,NA,NA,2.1,3.5-6.6,18.0-21.6,NA,5.0,NA,806 ± 62,63 ± 6,230 ± 16 ,915 ± 36 ,5376 ± 48 ,152 ± 14 ,6802 ± 249 ,233 ± 16 ,14 ± 1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,0.2,11.4,20.0,NA,18.2,2.0,NA,NA,0.5,0.4,0.1,0.7,1.0,0.20,0.2,1.9,NA,NA,NA,1.5,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saa-Otero et al. 2000; Di Pasquale et al. 2013; Anjos et al. 2019; Liolios et al. 2018,,
Watermelon,Citrullus lanatus,Cucurbitaceae,Food,2.8,2.8 ± 0.1,1.76 ± 0.079,3.6 ± 0.2,20.7 ± 1.1,72.2 ± 0.7,NA,406 ± 5,1457 ± 9,44.22 ± 0.21,104.6 ± 0.1 ,1995 ± 14 ,5806 ± 9 ,NA,4785 ± 12 ,NA,19.98 ± 0.12 ,0.52 ± 0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.54 ± 1.65,0.73 ± 0.03,11.11 ± 0.95,7.44 ± 0.29,39.44 ± 1.32,NA,3.66 ± 0.21,NA,NA,NA,NA,NA,NA,0.61 ± 0.01,NA,NA,NA,1.47 ± 0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2 ± 0.9,7.0 ± 0.4,10.1 ± 0.8,15.5 ± 1.0,11.2 ± 0.5,3.2 ± 0.2,9.7 ± 0.4,7.5 ± 0.5,18.2 ± 0.5,11.9 ± 0.6,206.6 ± 16.5,119.3 ± 2.4,87.3 ± 0.8,NA,Yang et al. 2013,,
Watermelon 70% & Summer squash 30%,Citrullus lanatus 70% & Cucurbita pepo Thunb 30%,Cucurbitaceae,Food,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,7,13,20,22,6,15,13,3,16,NA,NA,129.47 ± 2.25,NA,McAuley et al. 2018,,
